	
 -1050	 -1050		  -756	  -756		  -702	  -702		  -889	  -889		  -805	  -805		  -453	  -453		  -602	  -602		  -231	  -231		
  -367	  -367		   +11	   +11		  -123	  -123		    -3	    -3		  +366	  +366		  +215	  +215		  +565	  +565		  +391	  +391		
  +457	  +457		  +508	  +508		  +799	  +799		  +816	  +816		  +817	  +817		  +802	  +802		  +772	  +772		  +473	  +473		
  +418	  +418		  +610	  +610		  +539	  +539		  +207	  +207		  +129	  +129		  +308	  +308		   -23	   -23		   -93	   -93		
   +99	   +99		   +44	   +44		  -257	  -257		  -292	  -292		  -317	  -317		  -331	  -331		  -335	  -335		  -329	  -329		
  -314	  -314		  -293	  -293		  -265	  -265		   +21	   +21		   +55	   +55		   +88	   +88		  +120	  +120		  -107	  -107		
   -82	   -82		   -64	   -64		   -52	   -52		   -48	   -48		   -52	   -52		   -64	   -64		   -82	   -82		  -108	  -108		
  +116	  +116		   +80	   +80		   +41	   +41		    +0	    +0		  -295	  -295		  -335	  -335		  -371	  -371		  -147	  -147		
  -172	  -172		  -192	  -192		  -204	  -204		  -208	  -208		  -204	  -204		  -193	  -193		  -175	  -175		  -151	  -151		
  -378	  -378		  -346	  -346		  -312	  -312		  -279	  -279		    +8	    +8		   +35	   +35		   +57	   +57		   +72	   +72		
   +79	   +79		   +76	   +76		   +62	   +62		   +38	   +38		    +3	    +3		  -298	  -298		  -352	  -352		  -160	  -160		
  -229	  -229		  -560	  -560		  -638	  -638		  -460	  -460		  -792	  -792		  -863	  -863		  -671	  -671		  -727	  -727		
 -1026	 -1026		 -1057	 -1057		 -1073	 -1073		 -1072	 -1072		 -1056	 -1056		  -766	  -766		  -716	  -716		  -650	  -650		
  -825	  -825		  -476	  -476		  -627	  -627		  -514	  -514		  -139	  -139		  -272	  -272		  +106	  +106		   -30	   -30		
  +341	  +341		  +192	  +192		  +545	  +545		  +629	  +629		  +444	  +444		  +498	  +498		  +792	  +792		  +814	  +814		
  +818	  +818		  +807	  +807		  +780	  +780		  +484	  +484		  +431	  +431		  +625	  +625		  +556	  +556		  +225	  +225		
  +147	  +147		  +325	  +325		    -7	    -7		   -78	   -78		  +113	  +113		   +56	   +56		    +8	    +8		  -285	  -285		
